vocābulum -ī n	word
quis quid (sī/num/nē…)	anyone, anything
quīn	why not, do…!
prō-cēdere	go forward, advance
prius (adv)	earlier, before, previously, first
prehendere -disse -ēnsum	grasp, seize
post-eā	afterward, later
pellere pepulisse pulsum	push, drive (off)
pallium -ī n	cloak, mantle
nūper	recently
mordēre momordisse -sum	bite
monēre	remind, advise, warn
līmen -inis n	threshold
lignum -ī n	wood
ligneus -a -um	wooden
iste -a -ud	this, that (of yours)
intrā prp +acc	inside, within
imāgō -inis f	picture
iānitor -ōris m	doorkeeper
heus	hey! hello!
fremere -uisse	growl
forīs adv	outside, out of doors
forās adv	out through the doors, out of doors, forth, out
ferreus -a -um	of iron, iron-
ferōx -ōcis adi	fierce, ferocious
faber -brī m	artisan, smith
extrā prp +acc	outside
dē-rīdēre	laugh at, make fun of
cūstōdīre	guard
cēdere cessisse	go, withdraw
cavēre cāvisse cautum	beware (of)
catēna -ae f	chain
cardō -inis m	door pivot, hinge
aurum -ī n	gold
aureus -a -um	gold-, m gold piece
arbitrārī	think, suppose, believe
anteā	before, formerly
ad-mittere	let in, admit
ac-cēdere	approach, come near
vultus -ūs m	countenance, face
verbera -um n pl	lashes, flogging
nec/neque umquam	and never
umquam	ever
trā-dere -didisse -ditum	hand over, deliver
superior -ius comp	higher, upper, superior
salūtem dīcere +dat	greet
rubēre	be red, blush
quis-nam quid-nam	who/what ever?
pudor -ōris m	(sense of) shame
pudēre: pudet mē (+gen)	I am ashamed (of)
prō-mittere	promise
prōmissum -ī n	promise
posthāc	from now on, hereafter
plānus -a -um	plain, clear
plānē	plainly, clearly
perdere perdisse perditum	destroy, ruin, waste
pallidus -a -um	pale
pallēre	be pale
ob prp +acc	on account of
negāre	deny, say that…not
-nam	…ever?
merēre	earn, deserve
laus laudis f	praise
inter sē	(with) one another
integer -gra -grum	undamaged, intact
īn-scrībere	write on, inscribe
in-clūdere -sisse -sum	shut up
illinc	from there, thence
hinc	from here, hence
herī	yesterday
fortasse	perhaps, maybe
fatērī fassum	admit, confess
factum -ī n	deed, act
facile adv	easily
dī-mittere	send away, dismiss
con-tinēre -uisse -tentum	contain
comitārī	accompany
comes -itis m	companion
clāvis -is f	key
ā-vertere	turn aside, avert
ante-hāc	formerly
valdē	strongly, very (much)
tumultus -ūs m	uproar
subitus -a -um	sudden
subitō adv	suddenly
strepitus -ūs m	noise, din
sonus -ī m	sound, noise
saepe	often
re-cumbere -cubuisse	lie down
prīmō adv	at first
per-cussum	struck
per-cutere -iō -cussisse	strike, hit
patī passum	suffer, undergo, bear
pār paris adi	equal
os ossis n	bone
nōvisse (< nōscere)	know
nōscere nōvisse	get to know, perf know
mīrārī	wonder (at), be surprised
latus -eris n	side, flank
laevus -a -um	left
iūxtā prp +acc	next to, beside
intus adv	inside
im-pār -aris adi	unequal
ignōrāre	not know
frangere frēgisse frāctum	break, shatter
flēre -ēvisse	cry, weep (for)
et-sī	even if, although
dolor -ōris m	pain, grief
dē-nuō	anew, again
cupere -iō -īvisse	desire
cruentus -a -um	blood-stained, bloody
con-vertere	turn
continuō adv	immediately
cēterum adv	besides, however
certō adv	for certain
aliter	otherwise
ali-quī -qua -quod	some
aegrōtus -a -um	sick
vorāre	swallow, devour
trahere trāxisse tractum	drag, pull
timidus -a -um	fearful, timid
terribilis -e	terrible
taurus -ī m	bull
nāvem solvere	cast off, set sail
saxum -ī n	rock
saevus -a -um	fierce, cruel
rēx rēgis m	king
regere, rēxī, rēctum	rule, direct, guide, govern
quot-annīs	every year
prōspiciō, prōspicere, prōspexī, prōspectus	look out, look ahead
polliceor, pollicērī, pollicitus sum	promise
pateō, patēre, patuī, -	be open
parātus -a -um	ready
ōlim	once, long ago
occīdō, occīdere, occīdī, occīsus	kill
oblīvīscī -lītum +gen/acc	forget
nex necis f	killing, murder
necō, necāre, necāvī, necātus	kill
nārrātiō -ōnis f	narrative
mors mortis f	death
mora -ae f	delay
mōnstrum -ī n	monster
moenia -ium n pl	walls
mīrābilis -e	marvelous, wonderful
maereō, maerēre, --, --	grieve
lītus -oris n	beach, shore
labyrinthus -ī m	labyrinth
inter-ficere	kill
illūc	there, thither
ibi	there
humilis -e	low
hūc	hither, to this place
glōria -ae f	glory
forte adv	by chance
fīlum -ī n	thread
fābula -ae f	story, fable, play
ex-pugnātiō -ōnis f	conquest
exitus -ūs m	exit, way out, end
dēserō, dēserere, dēseruī, dēsertum	leave, desert
dēscendō, dēscendere, dēscendī, dēscensus	go down, descend
currus -ūs m	chariot
cupidus -a -um (+gen)	desirous (of), eager (for)
cupiditās -ātis f	desire
cōnstituō, cōnstituere, cōnstituī, cōnstitūtus	fix, decide
cōnspectus -ūs m	sight, view
com-plūrēs -a	several
cīvis -is m/f	citizen, countryman
brevī adv	soon, in a short time, shortly
auxilium -ī n	help, assistance
agnus -ī m	lamb
aedificium -ī n	building
aedificāre	build
vērum	but
ūrere ussisse ustum	burn
trāns prp +acc	across, over
temerārius -a -um	reckless
tam-quam	as, like
sūrsum	up, upward
summus -a -um sup	highest, greatest
studiōsus -a -um (+gen)	interested (in)
sīn Sīn volābis in summō aere prope caelum, ignis sōlis cēram molliet atque pennās ūret.	but if
revocāre	call back, revoke
reliquus -a -um	remaining, left
rēctā (viā)	straight
quoniam Quoniam māiōrem fābulae partem iam nārrāvistī, partem reliquam quoque nārrāre dēbēs.	as, since
neque/nec quisquam	and no one
quis-quam	anyone
quidem	indeed, certainly
quatere -iō	shake
propinquus -a -um	near, close
per-sequī	follow, pursue
per-ficere	complete, accomplish
penna -ae f	feather
paen-īnsula -ae f	peninsula
paene	nearly, almost
orbis terrārum	the world
orbis -is m	circle, orbit
opus -eris n	work
nātūra -ae f	nature
multitūdō -inis f	large number, multitude
molliō, mollīre, mollīvī, mollītus	make soft, soften
māximē	most, especially
lībertās -ātis f	freedom, liberty
līber -era -erum	free
levāre	lift, raise
lacertus -ī m	(upper) arm
iuvāre iūvisse iūtum	help, delight
inveniō, invenīre, invēnī, inventus	find
ingēns -entis adi	huge, vast
īnfimus -a -um sup	lowest
im-mātūrus -a -um	unripe
imitor, imitārī, imitātus sum	imitate
ignis -is m	fire
haud	not at all, by no means
fuga -ae f	flight
fīgo, fīgere, fīxi, fīxus	fix, fasten
excōgitāre	think out, devise
ēvolāre	fly out
effugiō, effugere, effūgī, effugitus	escape, run away
dēspiciō, dēspicere, dēspexī, dēspectus	look down (on), despise
deorsum adv	down
cōnsūmō, cōnsūmere, cōnsūmpsī, cōnsūmptus	spend, consume
cōnsilium -ī n	advice, decision, intention, plan
cōn-sequī	follow, overtake
cōnficiō, cōnficere, confēcī, cōnfectus	make, accomplish
celer -eris -ere	swift, quick
cautus -a -um	cautious
gen (/meā) +causā	for the sake of
cāsus -ūs m	fall, case
carcer -eris m	prison
audāx -ācis adi	bold, audacious
ars artis f	art, skill
accidō, accidere, accidisse, accisus Quid tum accidit? Quod filiō Daedalīaccidit, idem omnī puerō accidere poterit.	happen, occur
aberrāre	wander away, stray
vītis -is f	vine
vīnum -ī n	wine
vīnea -ae f	vinyard
-ve	or
ūva -ae f	grape
ūtī ūsum +abl	use, enjoy
ut + coni	that, in order that, to
urbānus -a -um	of the city, urban
trīcēsimus -a -um	thirtieth
alterum tantum	twice as much
tantum -ī n	so much
sub-urbānus -a -um	near the city
spargere -sisse -sum Agricola semen manu spargit. Pastorem mittunt atque celeriter oves in agris sparsas persequuntur.	scatter
siccus -a -um	dry
serere sēvisse satum	sow, plant
sēmen -inis n	seed
rūsticus -a -um	rural, rustic, farm-
rūs rūris n	the country
rūrī loc	in the country
rudis -e	crude, rude
rigāre	irrigate
regiō -ōnis f	region, district
rapere -iō -uisse -ptum	tear away, carry off
quiēscere -ēvisse	rest
neque/nec quidquam	and nothing
quid-quam	anything
nē quidem	not even
quī-dam quae- quod-	a certain, some
quam +sup	as…as possible
prō-icere	throw (forward)
pro-hibēre	keep off, prevent
prōd-esse prō-fuisse +dat	be useful, do good
prō prp +abl	for, instead of
precēs -um f pl	prayers
praedium -ī n	estate
prae prp +abl	before, for
pecus -oris n	livestock, sheep, cattle
patientia -ae f	forbearance, patience
patiēns -entis adi	patient
pāscere pāvisse pāstum	pasture, feed, feast
parum	too little, not quite
pābulum -ī n	fodder
ōtium -ī n	leisure
ōrāre	pray, beg
nocēre +dat	harm, hurt
nē-ve/neu	and (that) not, nor
nēquam adi indēcl, comp nēquior, sup nēquissimus	worthless, bad
negōtium -ī n	business, activity
neglegere -ēxisse -ēctum	neglect
neglegēns -entis adi	careless
nē…quidem	not even
nē	that not, lest, that
metere	reap, harvest
mātūrus -a -um	ripe
loca -ōrum n pl	regions, parts
lāna -ae f	wool
labōrāre	toil, work, take trouble
labor -ōris m	work, toil
invehere	import
īnstrūmentum -ī n	tool, instrument
in-hūmānus -a -um	inhuman
grex -egis m	flock, herd, band
gravida adi f	pregnant
frūmentum -ī n	corn, grain
frūgēs -um f pl	fruit, crops
frīgus -oris n	cold
fertilis -e	fertile
falx -cis f	sickle
ex-īstimāre	consider, think
dēnique	finally, at last
cūra -ae f	care, anxiety
crēscere -ēvisse	grow
cōpia -ae f	abundance, lot
colōnus -ī m	(tenant-) farmer
colere -uisse cultum	cultivate
circā prp +acc	round
cingere cīnxisse cīnctum	surround
cēnsēre -uisse -sum	think
calor -ōris m	warmth, heat
arātrum -ī n	plough
arātor -ōris m	plowman
arāre	plow
amoenus -a -um	lovely, pleasant
agricola -ae m	farmer, peasant
ager -grī m	field
abs v. ā/ab/abs	from, away from
vorāgō -inis f	abyss, whirlpool
vītāre	avoid
vigilia -ae f	night watch (I-IV)
versārī	move about, be present
vel-ut	like, as
utrum…an	…or…? whether…or
ūniversus -a -um	the whole of, entire
tūtus -a -um	safe
turba -ae f	throng, crowd
tumultuārī	make an uproar
tranquillitās -ātis f	calmness
tībīcen -inis m	flute-player
tībiae -ārum f pl	flute
suscitāre	wake up, rouse
surdus -a -um	deaf
spērāre	hope (for)
servīre +dat	be a slave, serve
salvus -a -um	safe, unharmed
salvāre	save
rogāre	ask, ask for
rēgnāre	reign, rule
quadrāgēsimus -a -um	fortieth
prīnceps -ipis m	chief, leader
praedō -ōnis m	robber, pirate
potius	rather
potestās -ātis f	power
phantasma -atis n	ghost, apparition
per-venīre	get to, reach
per-suādēre -sisse +dat	persuade, convince
per-īre -eō -iisse	perish, be lost
perīculum -ī n	danger, peril
perīculōsus -a -um	perilous, dangerous
pecūlium -ī n	money given to slaves
ob-oedīre +dat	obey
nāvicula -ae f	boat
XX annōs nātus	20 years old
nātus -a -um (< nāscī)	born
nāscī nātum	be born
mūtus -a -um	dumb
mundus -ī m	world, universe
mortālis -e	mortal
morī mortuum	die
memorāre	mention
mālle māluisse	prefer
libellus -ī m	little book
Īnferī -ōrum m pl	the underworld
im-pendēre +dat	threaten
im-mortālis -e	immortal
fretum -ī n	strait
fāma -ae f	rumor, reputation
ex-tendere -disse -tum	stretch out, extend
ē-volvere -visse -lūtum	unroll
eō adv	to that place, there
ē-icere	throw out
dis-iungere	separate
dictum -ī n	saying, words
cōnstāns -antis adi	steady, firm
claudus -a -um	lame
cessāre	leave off, cease
caecus -a -um	blind
attentus -a -um	attentive
ap-prehendere	seize
animus -ī m	mind, soul
ad-ōrāre	worship, adore
ad-mīrārī	admire, wonder at
vīta -ae f	life
vestrum gen	of you
vēlōx -ōcis adi	swift, rapid
tyrannus -ī m	tyrant
trīstitia -ae f	sadness
su-spicere	look up (at)
sur-ripere -iō -uisse -reptum	steal
sub-īre -eō -iisse	go under, undergo
suādēre -sisse +dat	advise
stupēre	be aghast
spēs -eī f	hope
sēsē	himself
secāre -uisse -ctum	cut
salūs -ūtis f	safety, well-being
repente	suddenly
rēmus -ī m	oar
re-manēre	remain, stay behind
re-dūcere	lead back, bring back
re-cognōscere	recognize
rapidus -a -um	rushing, rapid
querī questum	complain, grumble
quasi	as, like, as if
prōtinus	at once
pretiōsus -a -um	precious
precārī	pray
piscātor -ōris m	fisherman
per-turbāre	upset
per-movēre	move deeply
per-mittere	allow, permit
parcere pepercisse +dat	spare
nōtus -a -um	known
nostrum gen	of us
nōn-numquam	sometimes
nōn-nūllī -ae -a	some, several
nōbilis -e	well known, famous
nāvigātiō -ōnis f	sailing, voyage
mīrus -a -um	surprising, strange
maleficium -ī n	evil deed, crime
maestus -a -um	sad, sorrowful
lucrum -ī n	profit, gain
laetitia -ae f	joy
invidia -ae f	envy
in-vidēre +dat	envy, grudge
inde	from there, thence
ignōtus -a -um	unknown
ignārus -a -um	ignorant, unaware
iactūra -ae f	throwing away, loss
heu	o! alas!
fūrtum -ī n	theft
fūr -is m	thief
fundus -ī m	bottom
frūstrā	in vain
fortūna -ae f	fortune
fīnīre	limit, finish
fidicen -inis m	lyre-player
fidēs -ium f pl	lyre
fēlīx -īcis adi	fortunate, lucky
fēlīcitās -ātis f	good fortune, luck
fallāx -ācis adi	deceitful
ex-pōnere	put out/ashore, expose
ē-ripere -iō -uisse -reptum	snatch away, deprive of
dorsum -ī n	back
dōnāre	give, present with
dīvitiae -ārum f pl	riches
dē-trahere	pull off
dē-terrēre	deter
dē-spērāre	lose hope, despair (of)
dē-silīre -uisse	jump down
delphīnus -ī m	dolphin
cōn-fitērī -fessum	confess
celsus -a -um	tall
carmen -inis n	song, poem
cantus -ūs m	singing, music
beneficium -ī n	benefit, favor
ap-propinquāre (+dat)	approach, come near
ap-pārēre	appear
ā-mittere	lose
allicere -iō -ēxisse -ectum	attract
af-ficere	affect, stir
aestimāre	value, estimate
ad-icere	add
abs-tinēre	keep off
ab-icere	throw away
vīsere -sisse	go and see, visit
vās vāsis n, pl -a -ōrum	vessel, bowl
valētūdō -inis f	health
trīclīnium -ī n	dining-room
ternī -ae -a	three (each)
tardus -a -um	slow, late
sternere strāvisse strātum	spread
sitis -is f	thirst
singulī -ae -a	one (each), each
sānē	certainly, quite
salvēre iubēre	greet
sāl salis m	salt, wit
re-quiēscere	rest
re-cipere	receive, admit
prō-ferre	bring forth, produce
prīdem	long ago
prae-esse (+dat)	be in charge (of)
pōtāre	drink
placēre +dat	please
per-ferre	carry, endure
paulisper	for a short time
parāre	prepare, make ready
nux nucis f	nut
nūntiāre	announce, report
molestus -a -um	troublesome
miscēre -uisse mixtum	mix
minister -trī m	servant
merus -a -um	pure, neat, undiluted
merum -ī n	neat wine
mēnsa secunda	dessert
mel mellis n	honey
lībertīnus -ī m	freedman
līberāre	free, set free
iūcundus -a -um	pleasant, delightful
iter itineris n Nuper longum iter feci in Graeciam. In itinere cohortes alia post aliam in longo ordine progrediuntur.	journey, march, way
in-exspectātus -a -um	unexpected
indūtus +abl	dressed in
īmus -a -um sup	lowest
hospes -itis m	guest, guest-friend
holus -eris n	vegetable
gustāre	taste
glōriōsus -a -um	glorious, boastful
genus -eris n	kind, sort
fundere fūdisse fūsum	pour, shed
fruī +abl Post tanta negotia magis quam umquam otio fruor. Nec vero iucunde vivo nisi cotidie bono vino fruor.	enjoy
famēs -is f	hunger, famine
ex-ōrnāre	adorn, decorate
ex-haurīre	drain, empty
equidem	indeed, for my part
ē-ligere -lēgisse -lēctum	choose, select
dulcis -e	sweet
diū, comp diūtius	long
dīligēns -entis adi	careful, diligent
dēmum adv	at last, only
culīna -ae f	kitchen
coquere -xisse -ctum	cook
convīvium -ī n	dinner-party
convīva -ae m/f	guest
con-trahere	draw together, wrinkle
com-plēre -ēvisse -ētum	fill, complete
cocus -ī m	cook
circiter	about
cēnāre	dine, have dinner
cēna -ae f	dinner
carō carnis f	flesh, meat
bonum -ī n	good, blessing
bīnī -ae -a	two (each)
balneum -ī n	bath, bathroom
a-spergere -sisse -sum	sprinkle, scatter (on)
argentum -ī n	silver
argenteus -a -um	silver-, of silver
ap-portāre	bring
acūtus -a -um	sharp
acerbus -a -um	sour, bitter
ac-cumbere -cubuisse	lie down at table
ac-cubāre	recline at table
vetus -eris adi	old
vetāre	forbid
supplicium -ī n	(capital) punishment
super prp +abl	on, about
statuere -uisse -ūtum	fix, determine
simul atque +perf	as soon as
senex senis m	old man
scelus -eris n	crime
scelestus -a -um	criminal, wicked
sapiēns -entis adi	wise
rūmor -ōris m	rumor
re-trahere	pull back, bring back
quis-quis	whoever, anyone who
quid-quid	whatever, anything that
quantum -ī n	how much, (as much) as
quam-ob-rem	why
prius-quam	before
praemium -ī n	reward, prize
pōtiō -ōnis f	drinking, drink
poena -ae f	punishment, penalty
parricīda -ae m	parricide
optāre	wish
ōdisse	hate
nūgae -ārum f pl	idle talk, rubbish
nōnāgēsimus -a -um	ninetieth
nimius -a -um	too big
nimium	too much
namque	for
mūnus -eris n	gift
mōs mōris m	custom, usage
memoria -ae f	memory
longē	far, by far
lēx lēgis f	law
latēre	be hidden, hide
iuvenis -is m	young man
iūstus -a -um	just, fair
iūs iūris n	right, justice
in-validus -a -um	infirm, weak
īnscrīptiō -ōnis f	inscription
in-iūstus -a -um	unjust, unfair
iniūria -ae f	injustice, wrong
īn-fidus -a -um	faithless
īn-fēlīx -īcis adi	unlucky, unfortunate
im-patiēns -entis adi	impatient
ignōscere -ōvisse +dat	forgive
id-eō	for that reason
funditus adv	to the bottom, utterly
fugitīvus -a -um	runaway
fīdus -a -um	faithful, reliable
fidēs -eī f	trust, faith, loyalty
fīdere fīsum esse +dat	trust, rely on
fābulārī	talk, chat
ēducāre	bring up
ēbrius -a -um	drunk
dēbilis -e	weak
crux -ucis f	cross
crūdēlis -e	cruel
cruciāre	torture, torment
cōram prp +abl	in the presence of
cōn-fidere +dat	trust
clēmēns -entis adi	mild, lenient
avārus -a -um	greedy, avaricious
au-fugere	run away, escape
au-ferre abs-tulisse ablātum	carry off, take away
asinīnus -a -um	ass’s
ali-quantum	a good deal
ab-dūcere	take away, carry off
voluntās -ātis f	will
vīs, acc vim, abl vī	force, violence, power
vīrēs -ium f pl	strength
vīlis -e	cheap
victōria -ae f	victory
victor -ōris m, adi	conqueror, victorious
utinam	I wish that, if only…!
ubī-que	everywhere
ubi prīmum +perf	as soon as
tuērī tūtum	guard, protect
talentum -ī n	talent
superbus -a -um	haughty, proud
sub-mergere	sink
seu	or
servitūs -ūtis f	slavery
re-pugnāre	fight back, resist
re-minīscī +gen/acc	recollect
rēmigāre	row
red-imere -ēmisse -ēmptum	ransom
proximus -a -um sup	nearest
prae-pōnere +dat	put before/in charge of
praeferre	prefer
populus -ī m	people, nation
poēta -ae m/f	poet
pīrāta -ae m	pirate
per-currere -rrisse -rsum	run over, pass over
of-ferre ob-tulisse oblātum	offer
nūbilus -a -um	cloudy
neu	and (that) not, nor
mūtuum dare/sūmere	lend/borrow
mūtuus -a -um	on loan
minārī +dat	threaten
mercātōrius -a -um	merchant-
meminisse +gen/acc	remember, recollect
iūre	justly, rightly
internus -a -um	inner, internal
inter-eā	meanwhile
inopia -ae f	lack, scarcity
īnfēstus -a -um	unsafe, infested
in-ermis -e	unarmed
incola -ae m/f	inhabitant
grātus -a -um	pleasing, grateful
grātiās agere	thank
grātiam habēre	be grateful
gen (/meā) + grātiā	for the sake of
grātia -ae f	favor, gratitude
gēns gentis f	nation, people
flectere -xisse -xum	bend, turn
etiam-nunc	still
ēgregius -a -um	outstanding, excellent
ē-dūcere	bring out, draw out
dōnec	as long as
dis-suādēre	advise not to
dē-sistere -stitisse	leave off, cease
cursus -ūs m	race, journey, course
cūnctus -a -um	whole, pl all
con-temnere -mpsisse -mptum	despise, scorn
condiciō -ōnis f	condition
commūnis -e	common
classis -is f	fleet
cārus -a -um	dear
audācia -ae f	boldness, audacity
armāre	arm, equip
amphitheātrum -ī n	amphitheater
amīcitia -ae f	friendship
ali-quot indēcl	some, several
ali-quandō	once
adversus -a -um	contrary, unfavorable
ad-iuvāre	help
vulnus -eris n	wound
vulnerāre	wound
virtūs -ūtis f	valor, courage
ūnī -ae -a	one
ultrā prp +acc	beyond
ulterior -ius comp	farther, more distant
trīnī -ae -a	three
trāns-īre -eō -iisse -itum	cross, pass
trāns-ferre	transfer, transport
tam-diū	so long, as long
studium -ī n	interest, study
studēre +dat	devote oneself to
stipendium -ī n	soldier's pay, service
sēnī -ae -a	six (each)
secundum prp +acc	along
rīpa -ae f	bank (of a river)
rīdiculus -a -um	ridiculous
re-ferre rettulisse	bring back, return
ratis -is f	raft
quīnī -ae -a	five (each)
quaternī -ae -a	four (each)
quam-diū	how long, (as long) as
pūblicus -a -um	public, State-
properāre	hurry
prō-gredī -ior -gressum	go forward, advance
proelium -ī n	battle
prō-currere -rrisse -rsum	run forward, charge
prīvātus -a -um	private
prī-diē	the day before
prae-stāre -stitisse	furnish, fulfill
praecipuē	especially, above all
posterus -a -um	next, following
plērī-que plērae- plēra-	most, most people
pāx pācis f	peace
ōrdō -inis m	row, rank, order
mūnīre	fortify
mīlitāris -e	military
legiōnārius -a -um	legionary
legiō -ōnis f	legion
lēgātus -ī m	envoy, delegate
īn-struere -ūxisse -ūctum	draw up, arrange
incolumis -e	unharmed, safe
imperātor -ōris m	(commanding) general
idōneus -a -um	fit, suitable
hortārī	encourage, urge
horrendus -a -um	dreadful
gaudium -ī n	joy, delight
foris -is f	leaf of a door, door
ferē	about, almost
fatīgāre	tire out, weary
ex-currere -rrisse -rsum	run out, rush out
etiam atque etiam	again and again
et-enim	and indeed, for
ē-rumpere	break out
ēnsis -is m	sword
ef-fundere	pour out, shed
dīrus -a -um	dreadful
dēsīderāre	long for, miss
dēnī -ae -a	ten (each)
cōpulāre	join, connect
con-vocāre	call together
com-memorāre	mention
cohors -rtis f	cohort
cōgere co-ēgisse -āctum	compel, force
citrā prp +acc	on this side of
citerior -ius comp	nearer
circum-dare	surround
caedēs -is f	killing, slaughter
caedere cecidisse caesum	beat, fell, kill
auxilia -ōrum n pl	auxiliary forces
arduus -a -um	steep
amnis -is m	river
agmen -inis n	army on the march, file
aetās -ātis f	age
ad-iungere	join to, add
aciēs -ēī f	line of battle
versiculus -ī m	short verse
venustus -a -um	charming
ultimus -a -um sup	most distant, last
turgid(ul)us -a -um	swollen
theātrum -ī n	theater
testis -is m/f	witness
tenebricōsus -a -um	dark
tenebrae -ārum f pl	darkness
spectātor -ōris m	spectator
sinus -ūs m	fold (of toga)
sērius -a -um	serious
scalpellum -ī n	scalpel, surgical knife
scaenicus -a -um	theatrical
sapere -iō -iisse	be wise, have sense
rīsus -ūs m	laughter, laugh
rēte -is n	net
re-quīrere -sīvisse -sītum	seek, ask
ratiō -ōnis f	reason
prō-silīre -uisse	spring forth
prīncipium -ī n	beginning
poēticus -a -um	poetical
plērumque	mostly
plaudere -sisse (+dat)	clap, applaud
pīpiāre	chirp
perpetuus -a -um	continuous, permanent
passer -eris m	sparrow
palma -ae f	palm
ōscitāre	gape, yawn
opēs -um f pl	resources, wealth
opera -ae f Profecto filius meus non opera medici sanabitur, sed diis iuvantibus spero eum brevi sanum fore.	effort, pains
odium -ī n	hatred
ocellus -ī m	(little) eye
nūbere -psisse +dat	marry
nota -ae f	mark, sign
niveus -a -um	snow-white
modo…modo Ludi circenses me non minus iuvant quam gladiatorii: modo in amphitheatrum, modo in circum eo.	now…now
misellus -a -um Cum Quintus heri de alta arbore cecidisset, pedem eius turgidum vix tetigit, sed misello puero sanguinem misit.	poor, wretched
mēns mentis f	mind
mellītus -a -um	sweet
lūgēre -xisse	mourn
lucerna -ae f	lamp
libēre: libet +dat	it pleases
libenter	with pleasure, gladly
laedere -sisse -sum	injure, hurt
iocōsus -a -um	humorous, funny
inter-dum Consonantes br, gr, cr, tr, quae initium syllabae facere solent (ut li-bri), interdum dividuntur: nig-ros, pat-rem	now and then
inquam	I say
ingenium -ī n	nature, character
im-plicāre -uisse -itum	enfold
gremium -ī n	lap
gladiātōrius -a -um	gladiatorial
gladiātor -ōris m	gladiator
geminus -a -um	twin
favēre fāvisse +dat	favor, support
fātum -ī n	fate, destiny, death
ex-cruciāre	torture, torment
ē-rubēscere -buisse	blush
epigramma -atis n	epigram
ē-līdere -sisse -sum	omit, elide
dum-modo	provided that, if only
uxōrem dūcere	marry
dubius -a -um	undecided, doubtful
dē-vorāre	swallow up, devour
dēliciae -ārum f pl Incipiam a carmine de morte passeris quem Lesbia in deliciis habuerat...	delight, pet
dactylus, -ī (m)	finger, a poetic foot
con-turbāre	mix up, confound
cōmoedia -ae f	comedy
circus -ī m	circle, orbit, circus
circum-silīre	hop about
circēnsis -e	of the circus
circēnsēs -ium m pl	games in the circus
certāre	contend, fight
certāmen -inis n	contest, fight
cachinnus -ī m	laugh, guffaw
bellus -a -um	lovely, pretty
bāsium -ī n	kiss
aurīga -ae m	charioteer, driver
arānea -ae f	spider, cobweb
anus -ūs f	old woman
af-firmāre	assert, affirm
ācer -cris -cre	keen, active, fierce
accendere -disse -ēnsum	light, inflame
tantun-dem	just as much
speciēs -ēī f Potestas coniunctionum quot species habet? (Quinque: Copulativas, disunctivas, expletivas, causales, rationales)	appearance, aspect, sort
sī-quidem	seeing that, since
similis -e	similar, like
significātiō -ōnis f	meaning, sense
scamnum -ī n	stool
sacerdōs sacerdōtis m/f	priest, priestess
quidnī	why not
quā-propter	why
quantitās -ātis f	quantity, size
quālitās -ātis f	quality
propter-eā	therefore
proprius -a -um	own, proper
ōrdināre	arrange, regulate
ōrātiō -ōnis f	speech
Mūsa -ae f	Muse
mentiō -ōnis f	mention
luctārī	wrestle
īra -ae f	anger
inconditus -a -um	unpolished, rough
forsitan	perhaps, maybe
ex-plētīvus, -a, -um	explanatory
ex-plānāre	explain
ēn	look, here is
dumtaxat	only, just
disiūnctīvus, -a, -um	contrasting
dēmere -mpsisse -mptum	remove
con-iungere	join, connect
cis prp +acc	on this side of
causalis, -e	causal
affectus -ūs m	mood, feeling
ad-nectere -xuisse -xum	attach, connect
admīrātiō -ōnis f	wonder, admiration
imperō, imperāre, imperāvī, imperātum	command, order, rule
Nautae tempestātēs metuunt, nam magnī flūctūs nāvēs aquā implēre possunt.	
Lēonardo	vince's son beard, cuddly, barman at maypole , recently come of age?
